object_id,ecotaxa_img_classif,pros_pred_mask_pixel_area,pros_pred_mask_mm2_area,lip_pred_mask_pixel_area,lip_pred_mask_mm2_area,apsilon_lip_pred_mask_pixel_area,apsilon_lip_pred_mask_mm2_area,object_lat,object_lon,object_date,object_time,object_depth_min,sample_id,sample_lat,sample_long,stage,orientation,species,total_lipids,apsilon_total_lipids,fullness_ratio,month,year,species_stage
20150422 181638  045  000000 0842 0914,civstage+ventral<Calanus hyperboreus,7432,3.931528,2817,1.490193,2434,1.287586,67.4797,-63.7895,2015-04-22,18:16:38,317.90090506152285,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,ventral,Calanus hyperboreus,0.3416181232033686,0.2792270226518982,0.327502691065662,4,2015,Calanus hyperboreus_civstage
20150422 181640  677  000000 0158 0164,female+lateral<Calanus hyperboreus,27291,14.436939,9928,5.251912,6381,3.375549,67.4797,-63.7895,2015-04-22,18:16:40,317.1342046388429,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,female,lateral,Calanus hyperboreus,1.9431409045417696,1.055799668120457,0.2338133450588105,4,2015,Calanus hyperboreus_female
20150422 181641  510  000000 0068 0326,cvstage+lateral<Calanus hyperboreus,13342,7.057917999999999,5988,3.167652,4785,2.531265,67.4797,-63.7895,2015-04-22,18:16:41,316.7586840077267,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,cvstage,lateral,Calanus hyperboreus,0.9671279310572783,0.7096956343257725,0.3586418827761955,4,2015,Calanus hyperboreus_cvstage
20150422 181643  043  000000 0122 0056,cvstage+lateral<Calanus glacialis,7306,3.864873999999999,2630,1.39127,2748,1.453692,67.4797,-63.7895,2015-04-22,18:16:43,315.99128540591846,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,cvstage,lateral,Calanus glacialis,0.3107234186677189,0.3301247906040034,0.3761292088694224,4,2015,Calanus glacialis_cvstage
20150422 181644  376  000000 0260 0236,female+lateral<Calanus hyperboreus,27543,14.570247,9504,5.027615999999999,7340,3.88286,67.4797,-63.7895,2015-04-22,18:16:44,315.6154655551759,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,female,lateral,Calanus hyperboreus,1.8295569123561768,1.2808421657175288,0.2664923937116508,4,2015,Calanus hyperboreus_female
20150422 181646  475  000000 0548 0698,civstage+lateral<Calanus glacialis,3672,1.942488,1325,0.7009249999999999,1157,0.612053,67.4797,-63.7895,2015-04-22,18:16:46,314.8806818926439,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,lateral,Calanus glacialis,0.1206404547499763,0.1000541458786841,0.3150871459694989,4,2015,Calanus glacialis_civstage
20150422 181646  508  000000 0944 0680,civstage+lateral<Calanus glacialis,3693,1.953597,1339,0.7083309999999999,1174,0.621046,67.4797,-63.7895,2015-04-22,18:16:46,314.8806818926439,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,lateral,Calanus glacialis,0.1224030529006019,0.1020885480931147,0.3178987273219604,4,2015,Calanus glacialis_civstage
20150422 181647  941  000002 0212 0608,female+lateral<Calanus glacialis,8803,4.656787,3306,1.748874,3185,1.684865,67.4797,-63.7895,2015-04-22,18:16:47,314.5221170403563,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,female,lateral,Calanus glacialis,0.4260621803486368,0.4046933575833285,0.3618084743837328,4,2015,Calanus glacialis_female
20150422 181648  041  000000 0698 0800,civstage+lateral<Calanus hyperboreus,7102,3.756958,1949,1.031021,2063,1.091327,67.4797,-63.7895,2015-04-22,18:16:48,314.1382182597013,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,lateral,Calanus hyperboreus,0.2054827605258584,0.2222511353350334,0.2904815544916924,4,2015,Calanus hyperboreus_civstage
20150422 181648  274  000000 0860 0056,civstage+lateral<Calanus hyperboreus,6561,3.470769,2871,1.518759,1895,1.002455,67.4797,-63.7895,2015-04-22,18:16:48,314.1382182597013,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,lateral,Calanus hyperboreus,0.350687962826313,0.1976677274585385,0.2888279225727785,4,2015,Calanus hyperboreus_civstage
20150422 181648  441  000000 0866 0062,civstage+lateral<Calanus hyperboreus,6826,3.610954,3507,1.855203,1651,0.8733789999999999,67.4797,-63.7895,2015-04-22,18:16:48,314.1382182597013,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,lateral,Calanus hyperboreus,0.462217527910746,0.1634278301896854,0.2418693231760914,4,2015,Calanus hyperboreus_civstage
20150422 181649  373  000000 0062 0146,civstage+ventral<Calanus hyperboreus,7587,4.013522999999999,2617,1.384393,2798,1.480142,67.4797,-63.7895,2015-04-22,18:16:49,313.7550176581745,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,ventral,Calanus hyperboreus,0.3086058758845831,0.3384424993434577,0.368788717543166,4,2015,Calanus hyperboreus_civstage
20150422 181650  206  000000 0194 0644,civstage+lateral<Calanus hyperboreus,8340,4.41186,3477,1.839333,3338,1.765802,67.4797,-63.7895,2015-04-22,18:16:50,313.364336565988,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,lateral,Calanus hyperboreus,0.4567699520177445,0.4317637650618039,0.4002398081534772,4,2015,Calanus hyperboreus_civstage
20150422 181650  240  000000 0710 0314,cvstage+lateral<Calanus glacialis,8187,4.330922999999999,3777,1.998033,3706,1.960474,67.4797,-63.7895,2015-04-22,18:16:50,313.364336565988,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,cvstage,lateral,Calanus glacialis,0.5120329303468446,0.4987977964822358,0.4526688652742153,4,2015,Calanus glacialis_cvstage
20150422 181650  540  000000 0224 0260,civstage+lateral<Calanus hyperboreus,9320,4.93028,3566,1.886414,2748,1.453692,67.4797,-63.7895,2015-04-22,18:16:50,313.364336565988,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,lateral,Calanus hyperboreus,0.4729827490792446,0.3301247906040034,0.2948497854077253,4,2015,Calanus hyperboreus_civstage
